,SMILES,logLD50,sigma,n_obs,SMILES_CANON,scaffold
6651,NC(=O)C1C2=CC=CC=C2C=CC2=CC=CC=C12,3.255272505103306,0.001,1,NC(=O)C1c2ccccc2C=Cc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f377d0>
6652,NC(=O)C1C2=CC=CC=C2CCC2=CC=CC=C12,3.380211241711606,0.001,1,NC(=O)C1c2ccccc2CCc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37840>
6653,NC(=O)C1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,2.792391689498254,0.001,1,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f378b0>
6654,NC(=O)C=C,2.2491552768948004,0.4746168159926267,10,C=CC(N)=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37920>
6655,NC(=O)CBr,2.0,0.001,1,NC(=O)CBr,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37990>
6656,NC(=O)CC#N,3.505149978319906,0.001,1,N#CCC(N)=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37a00>
6657,NC(=O)CC1(CC(O)=O)CCCCC1,3.3010299956639813,1.001,1,NC(=O)CC1(CC(=O)O)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37a70>
6658,NC(=O)CC1=C([O-])ON=[N+]1CC1=CC=CC=C1,3.6483600109809315,0.001,1,NC(=O)Cc1c([O-])on[n+]1Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37ae0>
6659,NC(=O)CCCCC1CCSS1,3.296665190261531,0.001,1,NC(=O)CCCCC1CCSS1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37b50>
6660,NC(=O)CCNCCO,3.3010299956639813,1.001,1,NC(=O)CCNCCO,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37bc0>
6661,NC(=O)CCl,2.439332693830263,0.24983681326973697,5,NC(=O)CCl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37c30>
6662,NC(=O)CF,0.9368055984982335,0.7406819069960703,4,NC(=O)CF,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37ca0>
6663,NC(=O)N(CO)CO,4.0,1.001,1,NC(=O)N(CO)CO,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37d10>
6664,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,3.2915908256580013,0.001,1,NC(=O)N1c2ccccc2C=Cc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37d80>
6665,NC(=O)N1CCC(CC1)C1=CC=CC=C1,2.8976270912904414,0.001,1,NC(=O)N1CCC(c2ccccc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f37df0>
6669,NC(=O)NC1=CC=C(Cl)C(Cl)=C1,2.6989700043360187,1.001,1,NC(=O)Nc1ccc(Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38040>
6670,NC(=O)NC1=CC=CC2=C1NC1=C2CCCC1,3.4424797690644486,0.001,1,NC(=O)Nc1cccc2c3c([nH]c12)CCCC3,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f380b0>
6671,NC(=O)NC1=CC=CC=C1,3.3010299956639813,0.001,1,NC(=O)Nc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38120>
6672,NC(=O)NC1CCC(=O)C2=C1C=CS2,3.6989700043360187,1.001,1,NC(=O)NC1CCC(=O)c2sccc21,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38190>
6673,NC(=O)NCC1=CC=CC=C1,3.537901176813413,0.10753741265442562,2,NC(=O)NCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38200>
6674,NC(=O)NNC(N)=O,3.3010299956639813,1.001,1,NC(=O)NNC(N)=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38270>
6675,NC(=O)NO,3.760422483423212,0.001,1,NC(=O)NO,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f382e0>
6676,NC(=O)OC1(CCCCC1)C#C,2.519827993775719,0.001,1,C#CC1(OC(N)=O)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38350>
6678,NC(=O)OC1=CC=CC=C1C(=O)OC1=C(Cl)C=CC(Cl)=C1,3.3979400086720375,1.001,1,NC(=O)Oc1ccccc1C(=O)Oc1cc(Cl)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38430>
6679,NC(=O)OC1=CC=CC=C1C(=O)OC1=CC=C(C=C1)[N+]([O-])=O,3.3979400086720375,1.001,1,NC(=O)Oc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f384a0>
6680,NC(=O)OC1=CC=CC=C1C(=O)OC1=CC=C(Cl)C=C1,3.3979400086720375,1.001,1,NC(=O)Oc1ccccc1C(=O)Oc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38510>
6682,NC(=O)OC1=CC=CC=C1C(=O)OC1=CC=CC=C1Cl,3.3979400086720375,1.001,1,NC(=O)Oc1ccccc1C(=O)Oc1ccccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f385f0>
6683,NC(=O)OC1=CC=CC=C1C(=O)OC1=CC=CC=C1[N+]([O-])=O,3.3979400086720375,1.001,1,NC(=O)Oc1ccccc1C(=O)Oc1ccccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38660>
6684,NC(=O)OC1CCCCC1,3.342422680822206,0.001,1,NC(=O)OC1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f386d0>
6685,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,3.6989700043360187,1.001,1,NC(=O)OCC(COC(N)=O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38740>
6686,NC(=O)OCC(O)COC1=CC=C(Cl)C=C1,2.8715729355458786,0.001,1,NC(=O)OCC(O)COc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f387b0>
6687,NC(=O)OCCCC1=CC=CC=C1,3.0453229787866576,0.001,1,NC(=O)OCCCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38820>
6688,NC(=O)ON=C1CSCCS1,1.7160033436347992,0.001,1,NC(=O)ON=C1CSCCS1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38890>
6689,NC(=O)[C@@H]1CCCN1,3.6989700043360187,0.001,1,NC(=O)[C@@H]1CCCN1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38900>
6690,NC(=O)[C@@H]1C[C@]2(NC(=O)NC2=O)C2=CC(F)=CC=C2O1,3.3010299956639813,1.001,1,NC(=O)[C@@H]1C[C@]2(NC(=O)NC2=O)c2cc(F)ccc2O1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38970>
6692,NC(=S)CC1=C2C=CC=CC2=CC=C1,1.7781512503836436,0.001,1,NC(=S)Cc1cccc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38a50>
6694,NC(=S)NC(N)=S,0.6989700043360189,0.001,1,NC(=S)NC(N)=S,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38b30>
6695,NC(=S)NC1=C(Cl)C=CC=C1,0.6627578316815741,0.001,1,NC(=S)Nc1ccccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38ba0>
6696,NC(=S)NC1=C2C=CC=CC2=CC=C1,0.627636252551653,0.1515149978319906,2,NC(=S)Nc1cccc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38c10>
6697,NC(=S)NC1=CC(Cl)=CC=C1,1.3979400086720377,0.001,1,NC(=S)Nc1cccc(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38c80>
6698,NC(=S)NC1=CC=C(Cl)C=C1,1.1760912590556813,0.001,1,NC(=S)Nc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38cf0>
6699,NC(=S)NC1=CC=CC=C1,0.47712125471966244,0.001,1,NC(=S)Nc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38d60>
6700,NC(=S)NCC=C,2.3010299956639813,0.001,1,C=CCNC(N)=S,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38dd0>
6701,NC(=S)NNCNNC(N)=S,0.8027737252919757,0.001,1,NC(=S)NNCNNC(N)=S,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38e40>
6702,NC(=S)NS(=O)(=O)C1=CC=C(N)C=C1,3.4771212547196626,1.001,1,NC(=S)NS(=O)(=O)c1ccc(N)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38eb0>
6703,NC(CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,2.0211892990699383,0.001,1,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f38f20>
6705,NC(CCC(O)=O)C=C,3.4771212547196626,0.001,1,C=CC(N)CCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39000>
6706,NC(CO)(CO)CO,3.7349110079890817,0.5369410036530627,2,NC(CO)(CO)CO,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39070>
6708,NC(CSCC(O)=O)C(O)=O,4.176091259055681,1.001,1,NC(CSCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39150>
6709,NC(Cl)(Cl)C1=NC(Cl)=C(Cl)C(Cl)=C1Cl,3.1760912590556813,0.001,1,NC(Cl)(Cl)c1nc(Cl)c(Cl)c(Cl)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f391c0>
6710,NC(Cl)C1=NC(Cl)=C(Cl)C(Cl)=C1Cl,3.074816440645175,0.001,1,NC(Cl)c1nc(Cl)c(Cl)c(Cl)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39230>
6712,NC(N)=N.O[N+]([O-])=O,2.92939127337076,0.10049801794333592,4,N=C(N)N.O=[N+]([O-])O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39310>
6713,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,3.6073477767684134,0.001,1,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39380>
6714,NC(N)=NC1=NC(CSCCN=CNS(=O)(=O)C2=CC=C(Br)C=C2)=CS1,3.9030899869919438,1.001,1,NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f393f0>
6715,NC(N)=NC1=NC2=C(CN(CC2)C(=O)NC2CC2)S1,2.9030899869919438,1.001,1,NC(N)=Nc1nc2c(s1)CN(C(=O)NC1CC1)CC2,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39460>
6718,NC(N)=O.OS(O)(=O)=O,2.9225490200071285,0.8794809756568528,2,NC(N)=O.O=S(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f395b0>
6719,NC(N)=[Se],1.6989700043360187,0.001,1,NC(N)=[Se],<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39620>
6720,NC1(CCCC1)C(O)=O,2.462397997898956,0.001,1,NC1(C(=O)O)CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39690>
6721,NC12CC3CC(CC(C3)C1)C2,2.9542425094393248,0.001,1,NC12CC3CC(CC(C3)C1)C2,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39700>
6722,NC1=C(Br)C(=O)N(N=C1)C1=CC=CC=C1,3.929418925714293,0.001,1,Nc1cnn(-c2ccccc2)c(=O)c1Br,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39770>
6723,NC1=C(Br)C=C(Br)C=C1CN[C@H]1CC[C@H](O)CC1,4.127104798364807,0.001,1,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f397e0>
6724,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)(=O)C(F)(F)F,2.2648178230095364,0.001,1,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39850>
6725,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,2.5490032620257876,0.9358204565946016,11,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f398c0>
6726,NC1=C(C2=C(C=C1)C(=CC=C2)S(O)(=O)=O)S(O)(=O)=O,3.734799829588847,0.001,1,Nc1ccc2c(S(=O)(=O)O)cccc2c1S(=O)(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39930>
6727,NC1=C(C=C(C=C1)N=NC1=CC=C(C=C1)S(O)(=O)=O)S(O)(=O)=O,4.1702617153949575,0.001,1,Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1S(=O)(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f399a0>
6728,NC1=C(C=C(C=C1)[N+]([O-])=O)C#N,3.589279221235967,0.001,1,N#Cc1cc([N+](=O)[O-])ccc1N,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39a10>
6729,NC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,2.45484486000851,0.001,1,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39a80>
6730,NC1=C(C=C(C=C1Br)[N+]([O-])=O)[N+]([O-])=O,3.6127838567197355,0.001,1,Nc1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39af0>
6731,NC1=C(C=C(Cl)C(Cl)=C1)S(O)(=O)=O,3.5,1.1999700043360186,2,Nc1cc(Cl)c(Cl)cc1S(=O)(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39b60>
6732,NC1=C(C=C(Cl)C=C1)[N+]([O-])=O,3.1505149978319906,1.049455006504028,2,Nc1ccc(Cl)cc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39bd0>
6733,NC1=C(C=C(Cl)C=C1[N+]([O-])=O)[N+]([O-])=O,2.6020599913279625,0.001,1,Nc1c([N+](=O)[O-])cc(Cl)cc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39c40>
6734,NC1=C(C=C(F)C=C1)C1=CC(Cl)=C(Cl)C=C1,3.3010299956639813,1.001,1,Nc1ccc(F)cc1-c1ccc(Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39cb0>
6736,NC1=C(C=CC(OC2=CC=CC=C2)=C1Cl)[N+]([O-])=O,3.755941680489437,1.0579716761534184,2,Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39d90>
6737,NC1=C(C=CC=C1)C(=O)OCC=CC1=CC=CC=C1,3.6989700043360187,1.001,1,Nc1ccccc1C(=O)OCC=Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39e00>
6738,NC1=C(C=CC=C1)C(F)(F)F,3.2741517053548717,0.5369583199881064,4,Nc1ccccc1C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39e70>
6739,NC1=C(C=CC=C1)C1=CC=CC=C1,3.369215857410143,0.001,1,Nc1ccccc1-c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39ee0>
6740,NC1=C(CS(O)(=O)=O)C2=C(C=C1)C=C(C=C2)S(O)(=O)=O,3.963787827345555,0.001,1,Nc1ccc2cc(S(=O)(=O)O)ccc2c1CS(=O)(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39f50>
6741,NC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,2.6989700043360187,1.007646645258659,3,NC1=C(Cl)C(=O)c2ccccc2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f39fc0>
6742,NC1=C(Cl)C(=O)N(N=C1)C1=CC=CC=C1,3.315721884506586,0.2728897997624974,4,Nc1cnn(-c2ccccc2)c(=O)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a030>
6743,NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl,2.9095560292411755,0.9339646251552342,7,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a0a0>
6744,NC1=C(Cl)C(F)=NC(OCC(O)=O)=C1Cl,3.49996186559619,0.5411140827959376,5,Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a110>
6745,NC1=C(Cl)C2=C(NC(=N2)C(F)(F)F)C(Cl)=C1Cl,1.3617278360175928,0.001,1,Nc1c(Cl)c(Cl)c2[nH]c(C(F)(F)F)nc2c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a180>
6748,NC1=C(Cl)C=C(C=C1)C1=CC(Cl)=C(N)C=C1,3.7157413883543042,0.13467802544259533,2,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a2d0>
6750,NC1=C(Cl)C=C(C=C1Cl)C(O)=O,3.6644539285811577,0.001,1,Nc1c(Cl)cc(C(=O)O)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a3b0>
6751,NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1,3.0569048513364727,0.001,1,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a420>
6752,NC1=C(Cl)C=C(Cl)C=C1C(O)=O,3.6148972160331345,0.001,1,Nc1c(Cl)cc(Cl)cc1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a490>
6753,NC1=C(Cl)C=C(Cl)C=C1Cl,3.380211241711606,0.001,1,Nc1c(Cl)cc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a500>
6754,NC1=C(Cl)C=CC(=C1)C(O)=O,3.9030899869919438,1.001,1,Nc1cc(C(=O)O)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a570>
6755,NC1=C(Cl)C=CC(Cl)=C1,3.2041199826559246,0.001,1,Nc1cc(Cl)ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a5e0>
6756,NC1=C(Cl)C=CC=C1,3.0068937079479006,0.001,1,Nc1ccccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a650>
6757,NC1=C(F)C(F)=C(F)C=C1,2.8444771757456815,0.001,1,Nc1ccc(F)c(F)c1F,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a6c0>
6759,NC1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(O)=O)=C1I,3.3010299956639813,1.001,1,Nc1c(I)c(C(=O)O)c(I)c(C(=O)NCC(O)CO)c1I,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a7a0>
6760,NC1=C(I)C(C(Cl)=O)=C(I)C(C(Cl)=O)=C1I,3.3010299956639813,1.001,1,Nc1c(I)c(C(=O)Cl)c(I)c(C(=O)Cl)c1I,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a810>
6761,NC1=C(I)C(C(O)=O)=C(I)C(C(O)=O)=C1I,3.5395906230238126,1.239560627359831,2,Nc1c(I)c(C(=O)O)c(I)c(C(=O)O)c1I,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a880>
6762,NC1=C(N)C=CC=C1,2.9244638566135395,0.6612214489573341,4,Nc1ccccc1N,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a8f0>
6763,NC1=C(O)C=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,3.3010299956639813,1.001,1,Nc1ccc(C(=O)c2ccc(Cl)cc2)cc1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a960>
6764,NC1=C(O)C=C(C=C1)C(=O)C1=CC=CC=C1,3.3010299956639813,1.001,1,Nc1ccc(C(=O)c2ccccc2)cc1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3a9d0>
6765,NC1=C(O)C=C(C=C1)[N+]([O-])=O,3.5,1.1030599913279624,2,Nc1ccc([N+](=O)[O-])cc1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3aa40>
6766,NC1=C(O)C=CC(=C1)[N+]([O-])=O,3.380211241711606,0.001,1,Nc1cc([N+](=O)[O-])ccc1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3aab0>
6767,NC1=C(O)C=CC=C1,3.0460619346221254,0.06888141768471157,2,Nc1ccccc1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3ab20>
6768,NC1=C(OC2=C(Cl)C=C(Cl)C=C2)C=CC(Cl)=C1,3.3592661646067485,0.001,1,Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3ab90>
6769,NC1=C(OCCOC(=O)OC2=CC=CC=C2)C=C(O)C2=C1C(=O)C1=C(C=CC=C1)C2=O,3.3010299956639813,1.001,1,Nc1c(OCCOC(=O)Oc2ccccc2)cc(O)c2c1C(=O)c1ccccc1C2=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3ac00>
6770,NC1=C2C(=O)C3=C(C(O)=CC(Br)=C3N)C(=O)C2=C(O)C=C1,4.096910013008056,0.001,1,Nc1ccc(O)c2c1C(=O)c1c(N)c(Br)cc(O)c1C2=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3ac70>
6771,NC1=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C(O)C=C1OC1=CC=CC=C1,3.6989700043360187,1.001,1,Nc1c(Oc2ccccc2)cc(O)c2c1C(=O)c1ccccc1C2=O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3ace0>
6772,NC1=C2C(C=CC=C2S(O)(=O)=O)=C(C=C1)S(O)(=O)=O,4.748188027006201,0.001,1,Nc1ccc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c12,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3ad50>
6773,NC1=C2C=CC=C(C2=CC=C1)S(O)(=O)=O,3.6989700043360187,1.001,1,Nc1cccc2c(S(=O)(=O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3adc0>
6775,NC1=C2C=NNC2=NC=N1,2.1492191126553797,0.001,1,Nc1ncnc2[nH]ncc12,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3aea0>
6776,NC1=C2CCCCC2=NC2=C1C=CC=C2,1.845098040014257,0.001,1,Nc1c2c(nc3ccccc13)CCCC2,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3af10>
6777,NC1=C2N=CN(C2=NC=N1)[C@]1(CO)O[C@H](CO)[C@@H](O)[C@H]1O,4.0,0.001,1,Nc1ncnc2c1ncn2[C@]1(CO)O[C@H](CO)[C@@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3af80>
6778,NC1=CC(=C(C=CC2=C(C=C(C=C2)[N+]([O-])=O)S(O)(=O)=O)C=C1)S(O)(=O)=O,4.152288344383057,0.001,1,Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3aff0>
6780,NC1=CC(=C(F)C=C1)[N+]([O-])=O,3.041392685158225,0.001,1,Nc1ccc(F)c([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b0d0>
6781,NC1=CC(=C(N)C=C1)[N+]([O-])=O,3.322219294733919,0.09907408674702521,3,Nc1ccc(N)c([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b140>
6782,NC1=CC(=C(NCCO)C=C1)[N+]([O-])=O,3.0,1.001,1,Nc1ccc(NCCO)c([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b1b0>
6783,NC1=CC(=C(O)C=C1)[N+]([O-])=O,3.3429156373130318,0.17659830256485576,2,Nc1ccc(O)c([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b220>
6784,NC1=CC(=CC(N)=C1)C(F)(F)F,2.57978359661681,0.001,1,Nc1cc(N)cc(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b290>
6785,NC1=CC(=CC=C1)N1C=CC=CC1=O,3.361727836017593,0.001,1,Nc1cccc(-n2ccccc2=O)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b300>
6786,NC1=CC(=CC=C1)[N+]([O-])=O,2.7323937598229686,0.10654562273230274,3,Nc1cccc([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b370>
6787,NC1=CC(=CC=C1Cl)[N+]([O-])=O,3.3042750504771283,0.001,1,Nc1cc([N+](=O)[O-])ccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b3e0>
6788,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,3.1209028176145273,0.001,1,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b450>
6789,NC1=CC(Br)=C(O)C2=C1C(=O)C(Br)=CC2=N,3.380211241711606,0.001,1,N=C1C=C(Br)C(=O)c2c(N)cc(Br)c(O)c21,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b4c0>
6790,NC1=CC(Cl)=C(C=C1Cl)[N+]([O-])=O,3.450249108319361,0.001,1,Nc1cc(Cl)c([N+](=O)[O-])cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b530>
6791,NC1=CC(Cl)=C(Cl)C=C1,2.7558748556724915,0.08172880809486098,5,Nc1ccc(Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b5a0>
6792,NC1=CC(Cl)=C(N)C(Cl)=C1,2.845098040014257,0.001,1,Nc1cc(Cl)c(N)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b610>
6793,NC1=CC(Cl)=C(N)C=C1Cl,3.2430380486862944,0.001,1,Nc1cc(Cl)c(N)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b680>
6796,NC1=CC(Cl)=NC(C(O)=O)=C1Cl,3.6989700043360187,1.001,4,Nc1cc(Cl)nc(C(=O)O)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b7d0>
6797,NC1=CC(F)=C(F)C=C1,2.531478917042255,0.001,1,Nc1ccc(F)c(F)c1,<rdkit.Chem.rdchem.Mol object at 0x7f64d8f3b840>
